currency,date,rate_to_usd
USD,2026-06-01,1.0
GBP,2026-06-01,1.271874
EUR,2026-06-01,1.077065
JPY,2026-06-01,0.006427
USD,2026-06-02,1.0
GBP,2026-06-02,1.266961
EUR,2026-06-02,1.082059
JPY,2026-06-02,0.006397
USD,2026-06-03,1.0
GBP,2026-06-03,1.262179
EUR,2026-06-03,1.082071
JPY,2026-06-03,0.006425
USD,2026-06-04,1.0
GBP,2026-06-04,1.258842
EUR,2026-06-04,1.083996
JPY,2026-06-04,0.00641
USD,2026-06-05,1.0
GBP,2026-06-05,1.258875
EUR,2026-06-05,1.085844
JPY,2026-06-05,0.00641
USD,2026-06-08,1.0
GBP,2026-06-08,1.253817
EUR,2026-06-08,1.090245
JPY,2026-06-08,0.006396
USD,2026-06-09,1.0
GBP,2026-06-09,1.257163
EUR,2026-06-09,1.094687
JPY,2026-06-09,0.006405
USD,2026-06-10,1.0
GBP,2026-06-10,1.254332
EUR,2026-06-10,1.095429
JPY,2026-06-10,0.006436
USD,2026-06-11,1.0
GBP,2026-06-11,1.2537
EUR,2026-06-11,1.100568
JPY,2026-06-11,0.006441
USD,2026-06-12,1.0
GBP,2026-06-12,1.254782
EUR,2026-06-12,1.102275
JPY,2026-06-12,0.006436
USD,2026-06-15,1.0
GBP,2026-06-15,1.253152
EUR,2026-06-15,1.107075
JPY,2026-06-15,0.006446
USD,2026-06-16,1.0
GBP,2026-06-16,1.251074
EUR,2026-06-16,1.103806
JPY,2026-06-16,0.006417
USD,2026-06-17,1.0
GBP,2026-06-17,1.253211
EUR,2026-06-17,1.10596
JPY,2026-06-17,0.006403
USD,2026-06-18,1.0
GBP,2026-06-18,1.248601
EUR,2026-06-18,1.102509
JPY,2026-06-18,0.006402
USD,2026-06-19,1.0
GBP,2026-06-19,1.248655
EUR,2026-06-19,1.10601
JPY,2026-06-19,0.006423
USD,2026-06-22,1.0
GBP,2026-06-22,1.24317
EUR,2026-06-22,1.10409
JPY,2026-06-22,0.00644
USD,2026-06-23,1.0
GBP,2026-06-23,1.238353
EUR,2026-06-23,1.10476
JPY,2026-06-23,0.006444
USD,2026-06-24,1.0
GBP,2026-06-24,1.238957
EUR,2026-06-24,1.108444
JPY,2026-06-24,0.00642
USD,2026-06-25,1.0
GBP,2026-06-25,1.235758
EUR,2026-06-25,1.112387
JPY,2026-06-25,0.006397
USD,2026-06-26,1.0
GBP,2026-06-26,1.239834
EUR,2026-06-26,1.108887
JPY,2026-06-26,0.006428
USD,2026-06-29,1.0
GBP,2026-06-29,1.236772
EUR,2026-06-29,1.106898
JPY,2026-06-29,0.006407
USD,2026-06-30,1.0
GBP,2026-06-30,1.232668
EUR,2026-06-30,1.104739
JPY,2026-06-30,0.006395
