symbol,date,open,high,low,close,volume,currency
AAPL,2026-06-01,186.215,189.4894,185.2412,188.0237,4274950,USD
MSFT,2026-06-01,410.0865,418.658,409.3358,412.7374,1702485,USD
JPM,2026-06-01,196.5143,200.5368,195.4754,198.4318,475454,USD
HSBA.L,2026-06-01,6.6748,6.7533,6.6203,6.7204,4369360,GBP
SAP.DE,2026-06-01,178.5954,179.0267,176.2904,178.1607,3817743,EUR
TM,2026-06-01,2861.1966,2864.155,2851.4719,2862.212,1587853,JPY
NVDA,2026-06-01,117.8659,118.4871,116.7398,117.9012,2655122,USD
BARC.L,2026-06-01,2.1206,2.1479,2.1083,2.1314,4003303,GBP
AAPL,2026-06-02,187.9495,192.1222,187.9133,190.0714,4533380,USD
MSFT,2026-06-02,417.5503,419.379,416.2797,416.3703,3855930,USD
JPM,2026-06-02,198.1251,199.0817,194.8596,197.5332,4497208,USD
HSBA.L,2026-06-02,6.8231,6.8339,6.7926,6.8062,845499,GBP
SAP.DE,2026-06-02,175.2799,175.7664,174.4663,175.2772,3789820,EUR
TM,2026-06-02,2868.126,2876.3206,2819.0047,2858.5019,211440,JPY
NVDA,2026-06-02,121.2585,121.3208,118.6466,119.7229,4547161,USD
BARC.L,2026-06-02,2.1333,2.1464,2.1299,2.1339,708572,GBP
AAPL,2026-06-03,190.5019,193.2551,189.8596,192.0254,2744560,USD
MSFT,2026-06-03,415.958,427.4588,415.8412,421.8985,746245,USD
JPM,2026-06-03,196.094,196.2315,191.7318,194.5669,2449092,USD
HSBA.L,2026-06-03,6.6625,6.6927,6.6003,6.6709,605077,GBP
SAP.DE,2026-06-03,178.4842,178.8434,176.6887,177.5152,4134203,EUR
TM,2026-06-03,2870.6943,2875.8864,2863.755,2863.7652,4178787,JPY
NVDA,2026-06-03,119.3546,119.6118,118.3904,118.7837,1146502,USD
BARC.L,2026-06-03,2.1837,2.1958,2.1768,2.1803,3732871,GBP
AAPL,2026-06-04,189.7074,191.7619,188.4564,190.0144,523242,USD
MSFT,2026-06-04,427.0779,427.6594,422.5793,427.5089,1931012,USD
JPM,2026-06-04,193.3988,195.9137,193.2833,195.0926,112230,USD
HSBA.L,2026-06-04,6.5769,6.639,6.5661,6.5788,4161470,GBP
SAP.DE,2026-06-04,174.7859,175.2085,173.0713,175.0954,185356,EUR
TM,2026-06-04,2910.1526,2917.1834,2879.3276,2911.5568,4660835,JPY
NVDA,2026-06-04,118.1558,118.5643,115.8916,117.4617,2447806,USD
BARC.L,2026-06-04,2.15,2.1911,2.1431,2.1653,2313685,GBP
AAPL,2026-06-05,188.2605,190.0673,187.5775,188.0364,3436952,USD
MSFT,2026-06-05,433.0517,436.6491,426.3328,430.3308,211347,USD
JPM,2026-06-05,195.5683,195.7478,195.5239,195.6395,4047714,USD
HSBA.L,2026-06-05,6.5998,6.6251,6.5024,6.545,3603885,GBP
SAP.DE,2026-06-05,172.7153,172.9639,172.1195,172.8715,2616748,EUR
TM,2026-06-05,2861.1911,2887.9984,2842.9849,2877.1485,4452230,JPY
NVDA,2026-06-05,119.8125,120.1988,117.5709,119.1261,2292042,USD
BARC.L,2026-06-05,2.1167,2.1332,2.1071,2.1269,3585910,GBP
AAPL,2026-06-08,189.288,193.0099,189.0464,191.0435,3369267,USD
MSFT,2026-06-08,438.8634,441.5173,432.5668,437.5375,157100,USD
JPM,2026-06-08,199.6361,200.3002,196.3782,197.4399,1965452,USD
HSBA.L,2026-06-08,6.5644,6.6218,6.5021,6.5951,2712963,GBP
SAP.DE,2026-06-08,173.8817,174.3039,172.1726,173.1697,2521628,EUR
TM,2026-06-08,2866.3796,2889.7454,2852.803,2883.2957,820681,JPY
NVDA,2026-06-08,118.6224,120.6137,118.3892,119.401,982764,USD
BARC.L,2026-06-08,2.0798,2.1077,2.074,2.1007,4652794,GBP
AAPL,2026-06-09,195.0511,195.3253,194.6679,195.1478,4586126,USD
MSFT,2026-06-09,427.8112,435.2592,427.5436,431.5876,4082386,USD
