trade_id,account,symbol,side,quantity,price,currency,ts
1000,FUND_C,AAPL,BUY,100,192.095,USD,2026-06-01T14:00:00
1001,FUND_C,NVDA,BUY,500,123.7988,USD,2026-06-01T16:53:00
1002,FUND_C,BARC.L,SELL,500,2.1196,GBP,2026-06-01T11:59:00
1003,FUND_A,TM,BUY,100,3035.9581,JPY,2026-06-01T10:09:00
1004,FUND_C,BARC.L,SELL,200,2.092,GBP,2026-06-01T12:20:00
1005,FUND_C,SAP.DE,SELL,100,168.9668,EUR,2026-06-01T09:16:00
1006,FUND_A,SAP.DE,BUY,200,173.2789,EUR,2026-06-01T09:23:00
1007,FUND_C,NVDA,SELL,100,123.6252,USD,2026-06-01T13:13:00
1008,FUND_A,SAP.DE,BUY,100,178.9758,EUR,2026-06-01T16:37:00
1009,FUND_B,MSFT,SELL,250,424.9408,USD,2026-06-01T13:11:00
1010,FUND_A,TM,SELL,250,2865.9234,JPY,2026-06-01T10:38:00
1011,FUND_C,SAP.DE,SELL,100,176.1561,EUR,2026-06-01T14:50:00
1012,FUND_B,SAP.DE,SELL,500,168.771,EUR,2026-06-01T15:31:00
1013,FUND_C,SAP.DE,BUY,250,177.6709,EUR,2026-06-01T10:27:00
1014,FUND_C,NVDA,SELL,200,119.3384,USD,2026-06-01T10:40:00
1015,FUND_B,AAPL,SELL,250,184.8675,USD,2026-06-02T13:29:00
1016,FUND_B,MSFT,BUY,200,399.7794,USD,2026-06-02T14:45:00
1017,FUND_C,AAPL,BUY,200,186.5822,USD,2026-06-02T09:54:00
1018,FUND_C,JPM,BUY,200,186.6366,USD,2026-06-02T12:39:00
1019,FUND_B,HSBA.L,BUY,100,6.7445,GBP,2026-06-02T09:40:00
1020,FUND_C,BARC.L,SELL,200,2.0193,GBP,2026-06-02T16:40:00
1021,FUND_C,AAPL,BUY,500,180.7675,USD,2026-06-02T09:08:00
1022,FUND_C,MSFT,SELL,200,391.6499,USD,2026-06-02T09:54:00
1023,FUND_A,BARC.L,SELL,100,2.0113,GBP,2026-06-02T13:26:00
1024,FUND_C,NVDA,BUY,500,125.7675,USD,2026-06-02T11:19:00
1025,FUND_B,BARC.L,BUY,100,2.0442,GBP,2026-06-02T11:58:00
1026,FUND_B,SAP.DE,BUY,200,167.5473,EUR,2026-06-02T16:41:00
1027,FUND_A,SAP.DE,BUY,200,177.5475,EUR,2026-06-02T12:33:00
1028,FUND_C,TM,SELL,500,2920.9345,JPY,2026-06-02T16:35:00
1029,FUND_A,HSBA.L,SELL,100,6.4611,GBP,2026-06-02T15:25:00
1030,FUND_B,SAP.DE,SELL,500,167.9715,EUR,2026-06-02T12:12:00
1031,FUND_A,SAP.DE,BUY,200,167.1285,EUR,2026-06-02T10:50:00
1032,FUND_C,TM,BUY,200,2984.8666,JPY,2026-06-03T10:51:00
1033,FUND_B,BARC.L,BUY,200,2.081,GBP,2026-06-03T13:25:00
1034,FUND_A,SAP.DE,SELL,1000,179.4513,EUR,2026-06-03T16:48:00
1035,FUND_B,SAP.DE,BUY,200,176.0339,EUR,2026-06-03T13:35:00
1036,FUND_C,NVDA,SELL,100,118.5998,USD,2026-06-03T10:39:00
1037,FUND_C,TM,SELL,200,2808.516,JPY,2026-06-03T09:47:00
1038,FUND_C,MSFT,SELL,200,426.7328,USD,2026-06-03T12:15:00
1039,FUND_A,SAP.DE,BUY,1000,178.6511,EUR,2026-06-03T16:36:00
1040,FUND_C,AAPL,BUY,100,190.5372,USD,2026-06-03T12:04:00
1041,FUND_C,HSBA.L,BUY,200,6.5081,GBP,2026-06-03T14:18:00
1042,FUND_C,HSBA.L,SELL,500,7.0493,GBP,2026-06-03T10:19:00
1043,FUND_B,SAP.DE,BUY,1000,168.3317,EUR,2026-06-03T10:42:00
1044,FUND_A,HSBA.L,SELL,500,6.4769,GBP,2026-06-03T09:36:00
1045,FUND_C,BARC.L,SELL,500,2.0804,GBP,2026-06-03T11:23:00
1046,FUND_A,AAPL,BUY,1000,198.185,USD,2026-06-03T13:11:00
1047,FUND_B,TM,BUY,500,3018.9467,JPY,2026-06-03T09:49:00
1048,FUND_A,AAPL,SELL,250,191.3263,USD,2026-06-03T14:45:00
1049,FUND_A,HSBA.L,BUY,500,7.1247,GBP,2026-06-03T14:13:00
1050,FUND_B,JPM,SELL,200,202.9779,USD,2026-06-03T12:06:00
1051,FUND_B,NVDA,BUY,200,124.3046,USD,2026-06-04T09:44:00
1052,FUND_C,HSBA.L,BUY,500,6.6902,GBP,2026-06-04T12:58:00
1053,FUND_C,BARC.L,SELL,500,2.1785,GBP,2026-06-04T16:22:00
1054,FUND_B,NVDA,BUY,500,116.0943,USD,2026-06-04T09:28:00
1055,FUND_B,MSFT,BUY,200,415.6099,USD,2026-06-04T15:35:00
1056,FUND_B,NVDA,SELL,100,117.8904,USD,2026-06-04T11:00:00
1057,FUND_C,HSBA.L,BUY,500,7.1326,GBP,2026-06-04T09:36:00
1058,FUND_A,SAP.DE,BUY,1000,173.8091,EUR,2026-06-04T11:33:00
1059,FUND_B,SAP.DE,SELL,500,182.6078,EUR,2026-06-04T09:02:00
1060,FUND_A,TM,SELL,500,2761.6242,JPY,2026-06-04T10:57:00
1061,FUND_C,HSBA.L,BUY,1000,6.969,GBP,2026-06-04T10:47:00
1062,FUND_B,HSBA.L,BUY,100,6.569,GBP,2026-06-04T10:41:00
1063,FUND_C,MSFT,SELL,250,420.0202,USD,2026-06-04T11:33:00
1064,FUND_A,MSFT,BUY,250,408.4116,USD,2026-06-04T12:16:00
1065,FUND_B,MSFT,SELL,1000,397.1351,USD,2026-06-04T14:46:00
1066,FUND_A,JPM,SELL,100,203.8288,USD,2026-06-05T16:51:00
1067,FUND_A,SAP.DE,BUY,500,181.3628,EUR,2026-06-05T11:31:00
1068,FUND_B,BARC.L,SELL,500,2.172,GBP,2026-06-05T11:26:00
1069,FUND_B,JPM,BUY,1000,190.3135,USD,2026-06-05T14:31:00
1070,FUND_B,TM,BUY,200,2797.211,JPY,2026-06-05T13:28:00
1071,FUND_A,SAP.DE,SELL,250,169.269,EUR,2026-06-05T13:08:00
1072,FUND_B,SAP.DE,SELL,500,168.4464,EUR,2026-06-05T14:32:00
1073,FUND_B,HSBA.L,SELL,250,6.9258,GBP,2026-06-05T16:38:00
1074,FUND_C,NVDA,BUY,200,115.7627,USD,2026-06-05T11:18:00
1075,FUND_C,BARC.L,SELL,100,2.1207,GBP,2026-06-05T09:38:00
1076,FUND_A,BARC.L,SELL,200,2.006,GBP,2026-06-05T16:27:00
1077,FUND_A,TM,BUY,500,3001.8389,JPY,2026-06-08T16:42:00
1078,FUND_B,AAPL,SELL,200,191.1215,USD,2026-06-08T16:29:00
1079,FUND_B,MSFT,SELL,200,400.6525,USD,2026-06-08T14:00:00
1080,FUND_C,SAP.DE,BUY,500,170.064,EUR,2026-06-08T11:02:00
1081,FUND_B,SAP.DE,SELL,500,175.3663,EUR,2026-06-08T09:29:00
